id,name,host_id,room_type,price,minimum_nights,listing_url,created_at,updated_at
27704502,Bungalow in Berlin · Studio · 1 bed · 1 private bath,93795005,Private room,156,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28086407,Rental unit in Berlin · ★4.92 · 1 bedroom · 2 beds · 1 bath,10108425,Entire home/apt,73,30,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28087115,Rental unit in Berlin · 1 bedroom · 2 beds · 1 shared bath,66481222,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27709730,Rental unit in Berlin · 1 bedroom · 1 bed · 1 bath,209199022,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28090404,Serviced apartment in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,212189469,Hotel room,259,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27712888,Rental unit in Berlin · 1 bedroom · 1 bed · 1 bath,5520777,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27716591,Rental unit in Berlin · 3 bedrooms · 4 beds · 1 bath,151571548,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28091977,Serviced apartment in Berlin · ★4.97 · Studio · 1 bed · 1 bath,210700814,Entire home/apt,253,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27717158,Camper/RV in Berlin · ★4.89 · 1 bedroom · 2 beds · 1 bath,4311528,Entire home/apt,67,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28093270,Boutique hotel in Berlin · ★4.93 · 1 bedroom · 2 beds · 1 private bath,212197766,Hotel room,125,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27727433,Rental unit in Berlin · ★4.92 · 1 bedroom · 1 bed · 1 private bath,174343869,Private room,,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27727744,Rental unit in Berlin · ★4.82 · 3 bedrooms · 2 beds · 2 baths,174343869,Entire home/apt,300,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27741271,Home in Berlin · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,147647876,Private room,53,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28094535,Boutique hotel in Berlin · ★4.75 · 1 bedroom · 2 beds · 1 private bath,212197766,Hotel room,136,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27744850,Condo in Berlin · ★5.0 · 2 bedrooms · 3 beds · 2 baths,209466384,Entire home/apt,,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28094911,Boutique hotel in Berlin · 1 bedroom · 2 beds · 1 private bath,212197766,Hotel room,169,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28100991,Condo in Berlin · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,15160550,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27769256,Rental unit in Berlin · ★4.85 · 1 bedroom · 1 bed · 1 shared bath,209666936,Private room,31,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28103621,Rental unit in Berlin · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,129583121,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27773813,Rental unit in Berlin · ★4.88 · 1 bedroom · 1 bed · 1 shared bath,9803219,Private room,60,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28117561,Condo in Berlin · ★4.88 · 1 bedroom · 1 bed · 1.5 shared baths,5352418,Private room,60,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28128399,Rental unit in Berlin · 2 bedrooms · 1 bed · 1 shared bath,212465284,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27775143,Loft in Berlin · ★4.42 · 3 bedrooms · 3 beds · 1 shared bath,143870129,Private room,150,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28142296,Rental unit in Berlin · ★4.97 · 1 bedroom · 2 beds · 1 bath,155814934,Entire home/apt,85,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27779896,Rental unit in Berlin · ★4.89 · 1 bedroom · 2 beds · 1 shared bath,82071533,Private room,70,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28142343,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,38884973,Private room,53,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27796047,Rental unit in Berlin · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,148479451,Private room,,20,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28143091,Rental unit in Berlin · ★4.92 · 3 bedrooms · 5 beds · 1 bath,57874657,Entire home/apt,244,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28145175,Rental unit in Berlin · ★4.63 · 1 bedroom · 1 bed · 1 bath,6815251,Entire home/apt,83,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27804106,Home in Berlin · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,21867288,Private room,45,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27817073,Rental unit in Berlin · 1 bedroom · 1 bed · 2.5 baths,22943569,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28146018,Guest suite in Berlin · ★4.89 · Studio · 1 bed · 1 bath,212597196,Entire home/apt,95,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28154888,Rental unit in Berlin · 1 bedroom · 3 beds · 1 shared bath,12898189,Shared room,14,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27818901,Rental unit in Berlin · ★4.56 · 1 bedroom · 1 bed · 1 bath,10084673,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28168852,Rental unit in Berlin · ★4.77 · 1 bedroom · 2 beds · 1 bath,1531988,Entire home/apt,76,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27845444,Loft in Berlin · ★4.60 · 2 bedrooms · 1 bed · 1 bath,210286210,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28174047,Boutique hotel in Berlin · ★4.76 · 1 bedroom · 1 bed · 1 private bath,212799157,Hotel room,141,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27858308,Rental unit in Berlin · ★4.97 · 2 bedrooms · 2 beds · 1 bath,1657289,Entire home/apt,225,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28175257,Boutique hotel in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 private bath,212799157,Hotel room,151,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28175453,Hotel in Berlin · ★4.71 · 1 bedroom · 1 bed · 1 shared bath,212799157,Private room,161,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28181505,Rental unit in Berlin · 1 bedroom · 3 beds · 1 shared bath,91606330,Shared room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27864240,Rental unit in Berlin · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,210470412,Private room,60,2,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28182613,Rental unit in Berlin · ★4.88 · 3 bedrooms · 3 beds · 1.5 baths,6444753,Entire home/apt,203,7,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28194113,Rental unit in Berlin · ★4.93 · 1 bedroom · 1 bed · 1 shared bath,212946182,Private room,76,3,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27865782,Rental unit in Berlin · 1 bedroom · 2 beds · 1 private bath,210484545,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28200309,Rental unit in Berlin · ★4.90 · 2 bedrooms · 1 bed · 1 bath,156748477,Entire home/apt,136,5,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27866506,Rental unit in Berlin · ★4.89 · 1 bedroom · 1 bed · 1 bath,58696324,Entire home/apt,115,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28218006,Home in Berlin · ★3.92 · 2 bedrooms · 4 beds · 1.5 shared baths,49840372,Private room,170,4,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27867153,Rental unit in Berlin · ★4.40 · 1 bedroom · 3 beds · 1 bath,210291317,Entire home/apt,65,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27867799,Rental unit in Berlin · ★4.43 · 1 bedroom · 1 bed · 1 bath,210291317,Entire home/apt,62,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28218033,Rental unit in Berlin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,5472105,Private room,30,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28218434,Rental unit in Berlin · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,5472105,Private room,30,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27868394,Rental unit in Berlin · ★4.56 · 1 bedroom · 1 bed · 1 shared bath,93675880,Private room,45,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27868396,Rental unit in Berlin · ★4.52 · 1 bedroom · 1 bed · 1 bath,210291317,Entire home/apt,76,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27868762,Rental unit in Berlin · ★4.41 · 1 bedroom · 1 bed · 1 bath,210291317,Entire home/apt,62,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28218608,Rental unit in Berlin · 2 bedrooms · 2 beds · 1 bath,5472105,Entire home/apt,75,180,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28220477,Rental unit in Berlin · 1 bedroom · 1 bed · 1 bath,24457619,Entire home/apt,55,93,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27869320,Rental unit in Berlin · ★4.44 · 1 bedroom · 2 beds · 1 bath,210291317,Entire home/apt,66,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27869338,Loft in Berlin · 1 bedroom · 1 bed · 1 bath,110264231,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27869754,Rental unit in Berlin · ★4.30 · 1 bedroom · 2 beds · 1 bath,210291317,Entire home/apt,64,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27870140,Rental unit in Berlin · ★4.58 · 1 bedroom · 1 bed · 1 bath,210291317,Entire home/apt,62,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28222980,Rental unit in Berlin · ★4.0 · 1 bedroom · 3 beds · 1 bath,23851163,Entire home/apt,45,30,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27870323,Rental unit in Berlin · ★4.33 · 1 bedroom · 1 bed · 1 bath,210291317,Entire home/apt,60,1,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
28224107,Rental unit in Berlin · 1 bedroom · 1 bed · 1.5 shared baths,21459774,Private room,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
27874824,Rental unit in Berlin · ★4.80 · 1 bedroom · 2 beds · 1 bath,41936957,Entire home/apt,,92,https://abc.com,25/02/2024 19:19,25/02/2024 19:19
